b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
4.24264,0.1,1.41421,1,0,0
4.24264,0.1,1.41421,0.01,2.28742,2.36181
4.24264,0.1,1.41421,0.0316228,2.42756,2.40919
3,10,2,0.316228,2.79985,2.79694
4.24264,0.1,2,0.0316228,0,0
4.24264,0.1,2,0.1,0,0
4.24264,0.1,2,0.316228,0,0
4.24264,0.1,2,1,0,0
4.24264,0.316228,0.5,0.01,1.81296,1.81224
4.24264,0.1,2,0.01,2.65384,2.76723
4.24264,0.316228,0.5,0.316228,0,0
4.24264,0.316228,0.5,1,0,0
4.24264,0.316228,0.5,0.0316228,1.80559,1.80462
4.24264,0.316228,0.707107,0.316228,0,0
4.24264,0.316228,0.707107,0.01,1.82266,1.82093
4.24264,0.316228,0.5,0.1,1.80246,1.80141
4.24264,0.316228,0.707107,0.0316228,1.81445,1.81053
4.24264,0.316228,0.707107,1,0,0
4.24264,0.316228,0.707107,0.1,1.82186,1.80379
4.24264,0.316228,1,0.316228,0,0
4.24264,0.316228,1,1,0,0
4.24264,0.316228,1,0.01,1.98947,1.98259
4.24264,0.316228,1,0.0316228,2.0393,1.99735
4.24264,0.316228,1.41421,0.316228,0,0
4.24264,0.316228,1,0.1,2.10928,1.99984
4.24264,0.316228,1.41421,1,0,0
4.24264,0.316228,1.41421,0.01,2.29589,2.3691
4.24264,0.316228,2,0.1,0,0
4.24264,0.316228,1.41421,0.0316228,2.43426,2.4143
4.24264,0.316228,2,0.316228,0,0
4.24264,0.316228,1.41421,0.1,2.52548,2.41394
4.24264,0.316228,2,1,0,0
4.24264,1,0.5,0.01,1.81578,1.81171
4.24264,0.316228,2,0.01,2.65479,2.76542
4.24264,0.316228,2,0.0316228,2.79124,2.78087
4.24264,1,0.5,1,0,0
4.24264,1,0.5,0.0316228,1.80718,1.8043
4.24264,1,0.707107,0.01,1.82381,1.82244
4.24264,1,0.707107,1,0,0
4.24264,1,0.5,0.1,1.80737,1.80149
4.24264,1,0.707107,0.0316228,1.82287,1.81114
4.24264,1,0.5,0.316228,2.00872,1.80039
4.24264,1,0.707107,0.1,1.93583,1.80412
4.24264,1,1,0.01,1.9978,1.98157
4.24264,1,1,1,0,0
4.24264,1,0.707107,0.316228,2.1103,1.80122
4.24264,1,1,0.0316228,2.07692,1.99453
4.24264,1,1,0.1,2.20168,2.00189
4.24264,1,1.41421,1,0,0
4.24264,1,1.41421,0.01,2.29716,2.36227
4.24264,1,1,0.316228,2.33826,1.99955
4.24264,1,1.41421,0.0316228,2.45763,2.40929
4.24264,3.16228,0.5,0.01,0,1.81203
4.24264,1,2,0.316228,0,0
4.24264,1,2,1,0,0
4.24264,3.16228,0.5,0.0316228,0,1.80434
4.24264,1,1.41421,0.1,2.59366,2.4129
4.24264,1,2,0.01,2.651,2.76761
4.24264,1,1.41421,0.316228,2.74794,2.41266
4.24264,3.16228,0.707107,0.01,0,1.82166
4.24264,3.16228,0.707107,0.0316228,0,1.81041
4.24264,1,2,0.0316228,2.79212,2.78284
4.24264,1,2,0.1,2.79785,2.79253
4.24264,3.16228,0.5,1,0,1.80011
4.24264,3.16228,1,0.01,0,1.98063
4.24264,3.16228,0.707107,1,0,1.80039
4.24264,3.16228,0.5,0.1,2.165,1.80148
4.24264,3.16228,1,1,0,1.99989
4.24264,3.16228,1,0.0316228,2.19327,1.99705
4.24264,3.16228,1.41421,0.01,2.3766,2.36156
4.24264,3.16228,0.707107,0.1,2.38091,1.80385
4.24264,3.16228,0.5,0.316228,2.50512,1.80043
4.24264,3.16228,0.707107,0.316228,2.64838,1.80127
4.24264,3.16228,1,0.1,2.57275,1.9997
4.24264,3.16228,1.41421,0.0316228,2.62093,2.4117
4.24264,3.16228,1.41421,1,0,2.407
4.24264,10,0.5,0.0316228,0,0
4.24264,10,0.5,0.01,0,0
4.24264,3.16228,1,0.316228,2.79619,1.99958
4.24264,3.16228,2,1,0,0
4.24264,10,0.707107,0.01,0,0
4.24264,10,0.707107,0.0316228,0,0
4.24264,3.16228,2,0.01,2.72875,2.76695
4.24264,3.16228,1.41421,0.1,2.79179,2.4164
4.24264,10,0.5,0.1,0,2.076
4.24264,10,1,0.01,0,0
4.24264,3.16228,2,0.0316228,2.7936,2.78038
4.24264,3.16228,1.41421,0.316228,2.79907,2.4126
4.24264,10,0.707107,0.1,0,2.13639
4.24264,3.16228,2,0.1,2.79822,2.79143
4.24264,10,1,0.0316228,0,2.26075
4.24264,10,1,0.1,0,2.22345
4.24264,10,1.41421,0.01,0,2.33199
4.24264,3.16228,2,0.316228,2.79972,2.79707
4.24264,10,1.41421,0.0316228,0,2.40917
